STATUS,CLK,DOUT,D0,D1,D2,D3,D4,D5,D6,D7,A0,t
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.159500
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.159600
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.159700
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.159800
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.159900
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.160000
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.160100
1,1,0,0,1,1,1,0,0,1,1,-0.013849,0.160200
1,1,0,0,1,1,1,0,0,1,1,-0.013849,0.160300
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.160400
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.160500
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.160600
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.160700
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.160800
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.160900
1,1,0,0,1,1,1,0,0,1,1,-0.012560,0.161000
1,1,0,0,1,1,1,0,0,1,1,-0.013849,0.161100
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.161200
1,1,0,0,1,1,1,0,0,1,1,-0.013849,0.161300
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.161400
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.161500
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.161600
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.161700
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.161800
1,1,0,0,1,1,1,0,0,1,1,-0.012883,0.161900
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.162000
1,1,0,0,1,1,1,0,0,1,1,-0.012883,0.162100
1,1,0,0,1,1,1,0,0,1,1,-0.012883,0.162200
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.162300
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.162400
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.162500
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.162600
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.162700
1,1,0,0,1,1,1,0,0,1,1,-0.012883,0.162800
1,1,0,0,1,1,1,0,0,1,1,-0.012883,0.162900
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.163000
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.163100
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.163200
1,1,0,0,1,1,1,0,0,1,1,-0.012883,0.163300
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.163400
1,1,0,0,1,1,1,0,0,1,1,-0.013849,0.163500
1,1,0,0,1,1,1,0,0,1,1,-0.012883,0.163600
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.163700
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.163800
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.163900
1,1,0,0,1,1,1,0,0,1,1,-0.013849,0.164000
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.164100
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.164200
1,1,0,0,1,1,1,0,0,1,1,-0.012883,0.164300
1,1,0,0,1,1,1,0,0,1,1,-0.013849,0.164400
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.164500
1,1,0,0,1,1,1,0,0,1,1,-0.012883,0.164600
1,1,0,0,1,1,1,0,0,1,1,-0.013205,0.164700
1,1,0,0,1,1,1,0,0,1,1,-0.013527,0.164800
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.164900
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.165000
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.165100
1,0,0,0,1,1,1,0,0,1,1,-0.013849,0.165200
